,id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,location,duration,under_pressure,related_events,match_id,dribble_outcome,possession_team_id,team_id,player_id,dribble_overrun,dribble_nutmeg,out,dribble_no_touch,off_camera
0,424d9d1e-8fcb-4c0c-9b17-c2a7b20002ee,243,1,00:04:53.500,4,53,Dribble,10,AFC Bournemouth,From Throw In,AFC Bournemouth,Adam Smith,Right Back,"[101.6, 75.7]",0.0,True,"['b9a3202b-c3a1-44a4-be32-328386611ea7', 'f95a8e25-4782-4dcc-9b6d-016293963b40']",3754058,Complete,28,28,6409,,,,,
1,add1b27c-c446-4835-aab8-f484a3795700,247,1,00:04:56.283,4,56,Dribble,10,AFC Bournemouth,From Throw In,AFC Bournemouth,Adam Smith,Right Back,"[109.8, 77.4]",0.0,True,"['2e78d8cd-9a9b-4b6e-ad4f-3b1f06d97c6d', '7277efcc-ab79-44d1-a00a-1387a68fb249']",3754058,Incomplete,28,28,6409,True,True,,,
2,961a85bb-a184-4f05-ba9b-0c426bec2fac,523,1,00:11:55.723,11,55,Dribble,19,AFC Bournemouth,Regular Play,AFC Bournemouth,Charlie Daniels,Left Back,"[114.9, 13.9]",0.0,True,['b8871a6c-7107-4aba-9f80-40b977f9b628'],3754058,Complete,28,28,3345,,,,,
3,1f7c3a09-faf7-4438-ba28-227e4841909f,555,1,00:12:49.143,12,49,Dribble,20,AFC Bournemouth,From Throw In,AFC Bournemouth,Charlie Daniels,Left Back,"[82.8, 7.7]",0.0,True,"['70a89dfc-691e-4145-9a44-a105764c177f', '8c58fb3e-b671-4916-b70c-c31f7b5ab3e0']",3754058,Complete,28,28,3345,,,,,
4,6d96edb3-33c7-4bb0-a672-94a4708f2129,622,1,00:14:28.712,14,28,Dribble,22,Leicester City,From Throw In,Leicester City,Riyad Mahrez,Right Midfield,"[78.1, 58.5]",0.0,True,['d55c9db2-4146-4aa3-b19a-70f3f57c4d1d'],3754058,Incomplete,22,22,3814,,,,,
5,5cde56ae-0f68-495c-969b-d45c6b3896a3,967,1,00:22:06.287,22,6,Dribble,41,Leicester City,Regular Play,Leicester City,Marc Albrighton,Left Midfield,"[94.0, 15.5]",0.0,True,['082fdb63-44b0-4140-9120-dacae5115fc3'],3754058,Incomplete,22,22,3307,,,,,
6,fede12bb-31d3-4142-bd14-abcc5e12acc0,999,1,00:22:29.562,22,29,Dribble,42,AFC Bournemouth,Regular Play,AFC Bournemouth,Matt Ritchie,Right Midfield,"[49.2, 77.0]",0.0,True,['9cfc8ef5-b75f-46ef-b194-b10e23155714'],3754058,Complete,28,28,3049,,,,,
7,95b08dcd-d9f5-4671-b52b-3b86259240ce,1134,1,00:24:42.330,24,42,Dribble,45,AFC Bournemouth,Regular Play,Leicester City,N''Golo Kanté,Left Defensive Midfield,"[59.1, 7.6]",0.0,True,"['61e15b0f-f451-4d1a-8ab2-cf09502f324a', 'e41d0d03-7cf1-447d-9af1-a0ce2b5a3e68']",3754058,Complete,28,22,3961,,,,,
8,4037a52e-5e56-44ff-a69c-0238a1249eb5,1175,1,00:25:48.378,25,48,Dribble,47,Leicester City,From Free Kick,Leicester City,Jamie Vardy,Left Center Forward,"[109.4, 36.9]",0.0,True,['4edd6d67-1fa5-4be5-ae30-e9dfccf87031'],3754058,Complete,22,22,10960,,,,,
9,42364902-833a-4c6e-9700-0f988448c162,1185,1,00:26:06.497,26,6,Dribble,48,Leicester City,From Throw In,Leicester City,Riyad Mahrez,Right Midfield,"[106.8, 65.8]",0.0,True,['a9eaf592-dd59-4dc7-9c34-0a29354f7bf0'],3754058,Complete,22,22,3814,,,,,
10,1b3ecb30-8a1d-49eb-b187-7e9eb9cbb9bf,1263,1,00:27:45.358,27,45,Dribble,50,Leicester City,Regular Play,Leicester City,Marc Albrighton,Left Midfield,"[66.6, 15.3]",0.0,True,"['68ed1db4-5556-41ca-a454-c58f9d91d4f5', '7fed2493-1932-40df-9a3b-71fb3a428d93']",3754058,Incomplete,22,22,3307,,,,,
11,ed05270a-570f-4f05-8e74-920f160af378,1278,1,00:28:01.631,28,1,Dribble,51,AFC Bournemouth,Regular Play,Leicester City,José Leonardo Ulloa,Right Center Forward,"[67.7, 67.3]",0.0,True,['994f90b1-da80-4b4a-bad0-d5b38a9b71e8'],3754058,Incomplete,28,22,3671,,,,,
12,7fb96b24-0376-425f-8edf-f1b5bb4c08b7,1521,1,00:34:29.536,34,29,Dribble,65,AFC Bournemouth,Regular Play,AFC Bournemouth,Joshua King,Center Forward,"[66.1, 21.6]",0.0,True,['2dde6cff-6b8b-4155-b9ac-9a749c2dc8bb'],3754058,Complete,28,28,3346,,True,,,
13,5560ce5e-9f56-4ee6-8bcb-8be54879b88d,1563,1,00:35:16.411,35,16,Dribble,67,AFC Bournemouth,Regular Play,AFC Bournemouth,Joshua King,Center Forward,"[92.7, 75.2]",0.0,True,['1615fb36-aa26-40ee-b1f2-13ecbc1195ed'],3754058,Complete,28,28,3346,,,,,
14,2ca16169-0021-4623-97b1-4e73e5bc5ea8,1598,1,00:36:55.152,36,55,Dribble,68,AFC Bournemouth,From Free Kick,AFC Bournemouth,Joshua King,Center Forward,"[115.3, 56.9]",0.0,True,"['0a66d56e-83de-41ac-ab30-9bb4b0d15bb0', '4d99198c-74eb-4cf4-b3e1-3e04a5ef32cf']",3754058,Complete,28,28,3346,,,,,
15,0552db25-2138-4840-987c-e65c11b3062f,1625,1,00:37:50.620,37,50,Dribble,69,Leicester City,From Goal Kick,Leicester City,Riyad Mahrez,Right Midfield,"[99.0, 51.8]",0.0,True,['84571786-a2fd-498d-b882-eee1b758d0f0'],3754058,Incomplete,22,22,3814,,,,,
16,541edf97-ba9e-4146-afb1-f33d856daa22,1667,1,00:38:46.220,38,46,Dribble,70,AFC Bournemouth,From Free Kick,AFC Bournemouth,Junior Stanislas,Left Midfield,"[45.6, 6.6]",0.0,True,"['7e1f17a5-ae9e-425f-8422-a1f9d5c73037', 'e3155ca0-9327-43dd-bc27-c3c968b3b2bd']",3754058,Complete,28,28,3463,,True,,,
17,251cb55b-388c-4d31-944f-156b767d6d69,2008,2,00:01:28.167,46,28,Dribble,86,AFC Bournemouth,From Throw In,AFC Bournemouth,Adam Smith,Right Back,"[64.8, 71.6]",0.0,True,"['21486e80-f4e2-4462-8ae3-dd52737eb424', '71bbe604-683e-494c-ba92-767d6e7359d9']",3754058,Complete,28,28,6409,,,,,
18,917e7981-15fe-4f21-a375-6975b6cc3766,2130,2,00:03:52.202,48,52,Dribble,91,Leicester City,Regular Play,Leicester City,Marc Albrighton,Left Midfield,"[61.7, 12.4]",0.0,True,"['3ab3321c-3e7e-4ed4-bdbf-a3edecd3455a', '4222f2cb-46d9-4479-a810-c069e76d739d']",3754058,Incomplete,22,22,3307,,,,,
19,e1249b9e-f0fc-4351-83e7-69129f0e1770,2167,2,00:04:38.116,49,38,Dribble,92,AFC Bournemouth,Regular Play,AFC Bournemouth,Harry Arter,Left Center Midfield,"[53.7, 1.9]",0.0,True,"['88e04ced-a5eb-4d6b-b0e8-e759e0c1d28c', 'd5fa3dfb-f65b-4a8e-b58c-066765442a52']",3754058,Complete,28,28,3304,,,,,
20,86778f6a-f460-4851-890e-310f1e0a9a67,2181,2,00:04:54.524,49,54,Dribble,92,AFC Bournemouth,Regular Play,AFC Bournemouth,Adam Smith,Right Back,"[99.1, 66.9]",0.0,True,['4abf3b82-2a59-475b-b90f-7097264bffec'],3754058,Incomplete,28,28,6409,,,,,
21,430a3ea8-6695-4a9c-9831-5a62ba26de52,2236,2,00:06:48.496,51,48,Dribble,96,Leicester City,From Throw In,Leicester City,Riyad Mahrez,Right Midfield,"[90.8, 34.5]",0.0,True,"['5f0f81f2-3668-4152-a73e-483cfd5bc744', 'b7d9a073-e985-488d-b4e5-fff819aaf729']",3754058,Incomplete,22,22,3814,,,,,
22,24a98507-4e72-4357-80b9-f324987af196,2556,2,00:13:40.000,58,40,Dribble,110,AFC Bournemouth,Regular Play,AFC Bournemouth,Glenn Murray,Center Forward,"[50.8, 36.6]",0.0,True,"['0dcea3ac-01aa-4ede-8834-3dfeeeee4d61', '8988ce1d-cfe0-49a6-acbc-c4e80da215bf', '9888eb8e-c8e0-4209-b83e-d2c43659ec7d']",3754058,Complete,28,28,3085,,,,,
23,7b3cc464-a507-493d-9136-d91b2a299142,2586,2,00:15:05.303,60,5,Dribble,112,Leicester City,Regular Play,Leicester City,Jamie Vardy,Left Center Forward,"[111.1, 22.7]",0.0,True,['6ab2fba1-9066-42a0-b51d-914e1756b8de'],3754058,Incomplete,22,22,10960,,,,,
24,58d229e4-ef75-43a1-8203-2aedce731a41,2698,2,00:19:02.755,64,2,Dribble,120,Leicester City,Regular Play,Leicester City,Jamie Vardy,Left Center Forward,"[94.8, 35.6]",0.0,True,['25a3f817-0d86-40d1-8294-f57424f4a854'],3754058,Incomplete,22,22,10960,,,,,
25,c46d925c-4c7f-4c46-b2d0-7a8f2e86b704,2820,2,00:25:40.434,70,40,Dribble,138,AFC Bournemouth,Regular Play,AFC Bournemouth,Junior Stanislas,Left Midfield,"[81.5, 2.4]",0.0,True,['a8e7c189-e885-46d8-af7b-9ba8f46e57f0'],3754058,Complete,28,28,3463,,True,,,
26,19919552-5f73-40dc-9d24-5e7f75f159ee,2826,2,00:25:46.217,70,46,Dribble,138,AFC Bournemouth,Regular Play,AFC Bournemouth,Glenn Murray,Center Forward,"[104.6, 2.4]",0.0,True,['fb9f76ae-3758-4896-84b6-9218060647d8'],3754058,Incomplete,28,28,3085,,,,,
27,32082710-9d4b-43a1-825f-a8db86ff882b,2983,2,00:30:19.861,75,19,Dribble,149,Leicester City,From Throw In,Leicester City,Danny Drinkwater,Right Center Midfield,"[86.2, 47.0]",0.0,True,"['51d0bab4-d205-4533-93f1-d3a76399e5ce', 'c4beb412-f06e-46b3-af1a-c3b99f522a93']",3754058,Complete,22,22,3662,,,,,
28,cc6f8036-f2f4-4a45-bebb-21680799a5b0,3167,2,00:36:00.849,81,0,Dribble,163,AFC Bournemouth,From Goal Kick,Leicester City,Wes Morgan,Right Center Back,"[38.9, 63.3]",0.0,True,['6e2e56d8-9413-4999-9aa0-d3f54048a946'],3754058,Complete,28,22,3813,,,,,
29,391b7ab0-29c7-48fc-9dcb-0fe3cb15e867,3323,2,00:40:55.634,85,55,Dribble,173,Leicester City,Regular Play,Leicester City,Nathan Dyer,Right Center Forward,"[86.4, 7.5]",0.0,True,['173aca85-dced-467d-a0f9-9ba8872070b9'],3754058,Incomplete,22,22,3631,,,,,
30,e6d7c767-6803-42e0-a554-7dd4517523f7,3526,2,00:47:51.884,92,51,Dribble,188,Leicester City,From Throw In,AFC Bournemouth,Junior Stanislas,Left Midfield,"[67.5, 11.5]",0.0,True,"['3d8600d0-b464-4580-b3c4-e7cdf76e79dc', 'a729baac-c519-4e90-bcf2-70df7caf90dd']",3754058,Incomplete,22,28,3463,True,,,,
31,89de13b0-ae4e-4e8f-9c44-2798ef2422c8,56,1,00:00:45.190,0,45,Dribble,3,Sunderland,Regular Play,Sunderland,Steven Fletcher,Center Forward,"[63.2, 55.1]",0.0,True,"['40ca81ba-7b76-40df-b435-db9ac6365bd5', 'bdfa3ba8-9d68-4c9e-9135-7e64eee4b5b2']",3754245,Incomplete,41,41,9554,,,,,
32,7ff06651-cbf7-4261-92ca-1c56309959c6,66,1,00:00:51.556,0,51,Dribble,3,Sunderland,Regular Play,Sunderland,Fabio Borini,Left Wing,"[94.6, 28.0]",0.0,True,"['76d5fee1-bf61-4644-a59c-81bcb496d130', 'ff56feaf-b1f4-4f09-a4e2-298ef68637a9']",3754245,Complete,41,41,7171,,,,,
33,2428c42d-27e5-402d-b136-c54acd3b84dd,133,1,00:02:31.007,2,31,Dribble,5,West Bromwich Albion,From Throw In,West Bromwich Albion,Stéphane Sessègnon,Right Midfield,"[76.4, 76.4]",0.0,True,['c537822e-557f-4315-98b3-6847e2144a7d'],3754245,Complete,27,27,2966,,,,,
34,589ee0c7-f3f8-418b-b61c-d59fbc60e943,217,1,00:05:49.221,5,49,Dribble,10,West Bromwich Albion,From Free Kick,West Bromwich Albion,Stéphane Sessègnon,Right Midfield,"[114.3, 61.0]",0.0,True,"['2b9f884e-0daa-4e6d-b27a-0543996f5d87', 'b2515816-8604-4fa5-92e0-26560064b77c']",3754245,Complete,27,27,2966,,,,,
35,901d4253-8020-4edf-974a-c8a38b5ce632,286,1,00:08:09.106,8,9,Dribble,15,Sunderland,Regular Play,Sunderland,Fabio Borini,Left Wing,"[64.7, 17.2]",0.0,True,['4e78d80c-dcd8-48d4-88ed-e773cc547529'],3754245,Incomplete,41,41,7171,,,,,
36,12083922-6e75-4f7a-8f04-299a4819c222,776,1,00:24:09.154,24,9,Dribble,42,Sunderland,From Goal Kick,West Bromwich Albion,James McClean,Left Midfield,"[57.6, 8.5]",0.0,True,['95198d4c-8e79-4aae-9272-21475c789433'],3754245,Incomplete,41,27,3514,,,,,
37,05afd500-6275-4775-b966-1b0d70ba84aa,1035,1,00:32:36.899,32,36,Dribble,56,Sunderland,From Free Kick,West Bromwich Albion,Stéphane Sessègnon,Right Midfield,"[40.9, 47.4]",0.0,True,['9cb12b36-3264-4fa3-b42d-74c2fcaf7728'],3754245,Complete,41,27,2966,,,,,
38,44f14463-2a13-4900-94ab-e18b4f41a2f7,1045,1,00:32:39.764,32,39,Dribble,56,Sunderland,From Free Kick,Sunderland,Yann Gérard M''Vila,Left Center Midfield,"[72.8, 21.6]",0.0,True,['41b05759-d6f2-4c34-b42b-59d5ad64122b'],3754245,Incomplete,41,41,4429,,,,,
39,2e4f6d8c-d1ee-4cf5-b15f-5230e8d39af1,1378,1,00:41:37.317,41,37,Dribble,78,West Bromwich Albion,Regular Play,West Bromwich Albion,José Salomón Rondón Giménez,Right Center Forward,"[68.9, 66.4]",0.0,True,['962a3862-bc59-49c8-b967-008b05a2e172'],3754245,Incomplete,27,27,4041,,,,,
40,1f67968f-dfa3-4484-ae9e-81ddcccb4690,1424,1,00:42:43.691,42,43,Dribble,79,West Bromwich Albion,From Throw In,West Bromwich Albion,Stéphane Sessègnon,Right Midfield,"[88.4, 72.5]",0.0,True,['a423f75a-7d2a-4b6a-b71f-ec3d06bc3940'],3754245,Complete,27,27,2966,,,,,
41,0547ef13-3cd8-43f3-89b4-642ef1e4de47,1504,1,00:45:04.092,45,4,Dribble,84,West Bromwich Albion,From Throw In,West Bromwich Albion,José Salomón Rondón Giménez,Right Center Forward,"[92.7, 32.8]",0.0,True,['4c35ba71-96d1-4dab-b946-5a04dbcd90a0'],3754245,Complete,27,27,4041,,,,,
42,5901d230-6104-4a83-9441-ffde3d7b41e0,1643,2,00:02:23.726,47,23,Dribble,93,West Bromwich Albion,From Free Kick,West Bromwich Albion,Stéphane Sessègnon,Right Midfield,"[98.3, 62.4]",0.0,True,['5b1704a9-a9ec-4669-a7b4-5981fdac5bf5'],3754245,Complete,27,27,2966,,,,,
43,03caa707-9391-47cc-a22c-bae751e2c8cb,1685,2,00:04:18.401,49,18,Dribble,96,West Bromwich Albion,From Counter,West Bromwich Albion,Chris Brunt,Left Back,"[34.8, 8.1]",0.0,True,['1b1f999d-d69e-4dc1-b429-87451e13faee'],3754245,Complete,27,27,3541,,,,,
44,a8918c89-06e7-45c0-8cfa-9acf2e10184b,1736,2,00:05:56.752,50,56,Dribble,100,Sunderland,Regular Play,Sunderland,Sebastian Larsson,Right Wing,"[83.6, 53.3]",0.0,True,"['1b183668-fd9f-4bc2-bd11-911688c82985', '97baad68-c8a1-45d2-8e21-e4b10b44c27d']",3754245,Complete,41,41,5617,,,,,
45,bd4e9103-a02f-4494-980b-97183d1f2194,1961,2,00:14:13.590,59,13,Dribble,111,Sunderland,Regular Play,Sunderland,Billy Jones,Left Back,"[33.4, 21.3]",0.0,True,['12c0c746-11b9-48ad-a3eb-7735a3a4a68d'],3754245,Incomplete,41,41,10503,,,,,
46,e4fb2363-1594-473c-a7fa-769403db10f1,2161,2,00:20:28.794,65,28,Dribble,123,West Bromwich Albion,From Free Kick,West Bromwich Albion,Saido Berahino,Left Center Forward,"[113.4, 7.7]",0.0,True,['233ff541-7004-4cb7-89aa-237d6b9cf203'],3754245,Incomplete,27,27,4630,,True,,,
47,c9dc0a59-a5fe-4ae7-a74c-0ab14d391b10,2289,2,00:23:28.273,68,28,Dribble,129,West Bromwich Albion,Regular Play,West Bromwich Albion,Claudio Ariel Yacob,Left Center Midfield,"[22.0, 50.1]",0.0,True,['597c0144-bcbf-4327-aa1c-f0ffb5e72644'],3754245,Complete,27,27,3967,,,,,
48,fc09eb39-aa9b-400a-b6e8-47e33f0252bb,2476,2,00:28:10.764,73,10,Dribble,135,Sunderland,Regular Play,Sunderland,Jermain Defoe,Center Attacking Midfield,"[94.2, 48.7]",0.0,True,['71a1aa53-aa81-4712-b687-f4243e23c704'],3754245,Complete,41,41,3337,,,,,
49,7bb58ec9-1ec4-48fc-b6e0-efdec37071f0,2503,2,00:29:39.265,74,39,Dribble,137,Sunderland,From Throw In,Sunderland,DeAndre Yedlin,Right Back,"[90.9, 67.7]",0.0,True,"['0f1ae17e-9ca8-4e95-ac36-8df618435bf3', 'aeecf089-97cc-4f78-8256-252e7ae1e593']",3754245,Complete,41,41,3658,,,,,
50,2f3a3446-1902-482a-8c47-c06657492a41,2507,2,00:29:41.337,74,41,Dribble,137,Sunderland,From Throw In,Sunderland,DeAndre Yedlin,Right Back,"[93.1, 64.2]",0.0,True,['c175ce24-2bf6-4070-9403-cee46ba10ae6'],3754245,Complete,41,41,3658,,,,,
51,0de79011-01f6-411f-8880-854a7a5fc007,2618,2,00:32:47.958,77,47,Dribble,143,West Bromwich Albion,Regular Play,West Bromwich Albion,Stéphane Sessègnon,Right Midfield,"[15.0, 76.3]",0.0,True,['8c6f3df3-da66-49f1-b768-23873e7a5b76'],3754245,Complete,27,27,2966,,,,,
52,e8df27f1-2b3e-4289-be49-e9cec0b86448,2649,2,00:34:00.096,79,0,Dribble,145,Sunderland,Regular Play,Sunderland,Fabio Borini,Left Wing,"[93.6, 28.0]",0.0,True,['694cd0ad-4dc7-4d3a-a043-4e3de6f6540a'],3754245,Complete,41,41,7171,,,,,
53,4395a04e-3568-45d3-8257-62a0f44ce0ec,2687,2,00:35:49.837,80,49,Dribble,148,West Bromwich Albion,From Free Kick,Sunderland,Yann Gérard M''Vila,Left Center Midfield,"[28.9, 25.2]",0.0,True,['810906f9-d88d-4f1a-8dbe-f3aafa9ecdf0'],3754245,Complete,27,41,4429,,,,,
54,691a0a88-7c28-431d-84ef-f4a1cd2ec173,2874,2,00:41:28.855,86,28,Dribble,155,Sunderland,From Throw In,Sunderland,Yann Gérard M''Vila,Left Center Midfield,"[92.3, 28.8]",0.0,True,"['d698028a-3083-4370-b479-4a796d7c55e6', 'f35b0be2-34c9-4808-9a28-cb2c3fc0cf5e']",3754245,Complete,41,41,4429,,,,,
55,0c7aa4af-af49-41dd-9b1d-9640b3a1091d,2891,2,00:42:12.940,87,12,Dribble,156,West Bromwich Albion,From Goal Kick,West Bromwich Albion,Darren Fletcher,Right Center Midfield,"[68.3, 23.1]",0.0,True,['25e84b6c-361b-4f58-b63f-e6d4de17b3a2'],3754245,Incomplete,27,27,4022,,,,,
56,b9903eca-a346-4325-b287-921666ae3aca,2955,2,00:44:10.905,89,10,Dribble,160,Sunderland,Regular Play,Sunderland,Fabio Borini,Left Wing,"[44.8, 15.5]",0.0,True,"['8d1421d1-86c7-42b2-8b7c-888580d1157e', 'dcfd410d-18fc-4795-aef6-50ae45c8a358']",3754245,Complete,41,41,7171,,,,,
57,95cda302-2134-4ca3-8217-66b41a2a7611,2979,2,00:45:27.455,90,27,Dribble,162,West Bromwich Albion,From Goal Kick,West Bromwich Albion,James McClean,Left Midfield,"[80.0, 4.5]",0.0,True,['f1f8d6b4-ba4c-4743-bf4a-3c0d7cacec86'],3754245,Incomplete,27,27,3514,,,,,
58,28dbe7c2-fad2-48a2-992b-f07736ddd980,3061,2,00:47:26.327,92,26,Dribble,166,Sunderland,Regular Play,Sunderland,Fabio Borini,Left Wing,"[84.7, 8.8]",0.0,True,['70201544-872f-49ab-87e1-fa32afd2c6af'],3754245,Incomplete,41,41,7171,True,,,,
59,a797155d-9c00-4f3f-b223-2c5539abe825,24,1,00:00:15.956,0,15,Dribble,4,Newcastle United,Regular Play,Newcastle United,Moussa Sissoko,Right Wing,"[96.6, 67.8]",0.0,True,['c00010a0-ff00-4656-9107-1fd6e971583a'],3754136,Incomplete,37,37,3091,True,,,,
60,939dc5f2-a0b1-4d7d-a270-6e56ea4f149c,33,1,00:00:34.382,0,34,Dribble,5,Newcastle United,From Throw In,Newcastle United,Daryl Janmaat,Right Back,"[105.4, 74.1]",0.0,True,['49547c4d-96dd-4ed9-9259-5699c1b79757'],3754136,Incomplete,37,37,3650,,,,,
61,a5e457cb-8ddb-4889-83ec-c9fc7cd6ce16,64,1,00:01:32.228,1,32,Dribble,9,Newcastle United,From Throw In,Newcastle United,Daryl Janmaat,Right Back,"[110.5, 75.1]",0.0,True,['72d9647e-5607-4ed4-8acd-2ab995ce0319'],3754136,Complete,37,37,3650,,,,,
62,1152af11-b519-4116-a99d-490ae945dc89,241,1,00:06:20.109,6,20,Dribble,17,Newcastle United,Regular Play,Aston Villa,Carlos Alberto Sánchez Moreno,Center Defensive Midfield,"[45.5, 19.0]",0.0,True,"['1759b557-eeb5-4186-94b8-ac1d0ff9b53b', '17742f0c-1223-47c2-8042-ef9b9880f225']",3754136,Incomplete,37,59,5685,True,,,,
63,eeee08c7-2acb-459d-9d6e-37efa34ed477,583,1,00:15:59.829,15,59,Dribble,39,Newcastle United,Regular Play,Newcastle United,Papiss Demba Cissé,Center Forward,"[93.7, 65.2]",0.0,True,"['716aafae-a9c0-437f-9332-d1bf0cbeb5c7', 'd3f3a273-53aa-49f5-bbe4-7a091f9aa9cb']",3754136,Complete,37,37,30289,,,,,
64,b564c976-350a-41e1-8005-7a8437838cf1,693,1,00:18:17.494,18,17,Dribble,42,Newcastle United,From Free Kick,Newcastle United,Paul Dummett,Left Back,"[108.3, 7.9]",0.0,True,['edb36801-2675-4655-bf06-58899d69a893'],3754136,Complete,37,37,3065,,,,,
65,75ec51c3-8ac7-48c5-8aa0-d3c0bb2f5e8d,765,1,00:20:13.276,20,13,Dribble,46,Newcastle United,From Free Kick,Aston Villa,Jordan Ayew,Left Center Forward,"[79.8, 8.6]",0.0,True,['7178770e-5130-426c-8a7c-a500f85efe9b'],3754136,Incomplete,37,59,3450,,,,,
66,54c53f94-8b16-42fb-9721-27b84877a28a,962,1,00:25:16.915,25,16,Dribble,57,Newcastle United,From Throw In,Newcastle United,Vurnon Anita,Right Defensive Midfield,"[93.3, 68.5]",0.0,True,['d071335d-bc77-47b6-b382-a50a85aca84c'],3754136,Incomplete,37,37,16072,True,,,,
67,24891d4b-f6a1-48a9-adcb-e436d68f13ea,1059,1,00:27:27.968,27,27,Dribble,65,Aston Villa,From Keeper,Aston Villa,Idrissa Gana Gueye,Left Center Midfield,"[63.2, 24.4]",0.0,True,['28b27529-3bc1-486b-afd8-01cdc196b6ac'],3754136,Complete,59,59,3436,,,,,
68,99904758-cd52-436d-a18c-0eaf65a06654,1288,1,00:34:01.386,34,1,Dribble,77,Aston Villa,Regular Play,Aston Villa,Carlos Alberto Sánchez Moreno,Center Defensive Midfield,"[44.3, 58.9]",0.0,True,['bef349b7-75df-4f04-b4ef-d677f339dd57'],3754136,Complete,59,59,5685,,,,,
69,e3902289-49a8-4209-92b4-c2f7480525a9,1291,1,00:34:02.260,34,2,Dribble,77,Aston Villa,Regular Play,Aston Villa,Carlos Alberto Sánchez Moreno,Center Defensive Midfield,"[50.1, 59.8]",0.0,True,['add39c15-9cab-4188-b888-b8d2a55c1e90'],3754136,Incomplete,59,59,5685,,,,,
70,cfefb776-2e11-439b-bd02-a23606e066aa,1526,1,00:43:03.405,43,3,Dribble,96,Newcastle United,Regular Play,Aston Villa,Scott Sinclair,Right Center Forward,"[100.3, 17.7]",0.0,True,['6d769d2d-40ad-4a96-a4fe-0ef827f4dcf1'],3754136,Incomplete,37,59,11117,,,,,
71,b3d0fc40-c234-4a1e-84d1-18c16b3d6521,1634,1,00:45:42.132,45,42,Dribble,102,Newcastle United,Regular Play,Newcastle United,Georginio Wijnaldum,Left Wing,"[50.1, 69.4]",0.0,True,['6b453d3f-972d-4153-8326-f4021fddcaa5'],3754136,Incomplete,37,37,3567,,,,,
72,2a82c5cf-7093-4ee7-87ab-ebd9698c9ff7,1750,2,00:01:53.225,46,53,Dribble,107,Aston Villa,From Goal Kick,Newcastle United,Georginio Wijnaldum,Left Wing,"[50.1, 10.6]",0.0,True,['07493d5d-120a-42ca-9daf-49f71792aebe'],3754136,Incomplete,59,37,3567,,,,,
73,858b9e32-ba85-4509-927f-c21d0bdb3e2b,1765,2,00:02:08.618,47,8,Dribble,107,Aston Villa,From Goal Kick,Aston Villa,Alan Hutton,Right Back,"[112.6, 70.8]",0.0,True,['123a123d-9e71-4cf8-8b99-ea0be7dcaa04'],3754136,Incomplete,59,59,9642,,,,,
74,2795d0c7-4015-40ed-ae37-511c91105c55,1803,2,00:02:57.558,47,57,Dribble,109,Newcastle United,Regular Play,Newcastle United,Aleksandar Mitrović,Center Forward,"[48.7, 72.2]",0.0,True,['3917e140-e961-4b71-8a9f-872afe97e429'],3754136,Complete,37,37,4269,,,,,
75,c35b477f-9c16-4162-895b-b40183dada1f,1817,2,00:03:13.503,48,13,Dribble,111,Newcastle United,Regular Play,Newcastle United,Aleksandar Mitrović,Center Forward,"[76.7, 70.1]",0.0,True,['ad912c03-18a2-4c73-bbae-639e61021363'],3754136,Complete,37,37,4269,,,,,
76,039a8061-2351-42d2-905a-b54c05b63f78,1843,2,00:03:26.490,48,26,Dribble,111,Newcastle United,Regular Play,Newcastle United,Siem Stefan de Jong,Center Attacking Midfield,"[118.5, 58.4]",0.0,True,"['30f39a93-c1ec-4154-8882-dec05d7c4709', '815d5c0e-84c9-40e8-86ec-92732a04416d']",3754136,Complete,37,37,8061,,,,,
77,8901f7fd-6bba-4dfe-ba63-4d9de3f9de93,1979,2,00:06:47.702,51,47,Dribble,116,Aston Villa,Regular Play,Aston Villa,Carlos Alberto Sánchez Moreno,Center Defensive Midfield,"[50.6, 8.8]",0.0,True,"['0a5c6ff8-eae7-4292-b82a-fbb39f00f1a3', 'e4d1f26f-44dd-46bd-ab31-0bc322d427f7']",3754136,Complete,59,59,5685,,,,,
78,7ff25c8f-a9d3-4335-ab87-c4c6e843b70c,2065,2,00:09:48.275,54,48,Dribble,122,Aston Villa,From Throw In,Aston Villa,Ashley Westwood,Right Center Midfield,"[87.2, 62.7]",0.0,True,"['2e97a275-fa4e-4fd7-a445-4df4848dd225', '347e62fc-3c3f-4daf-a5a7-ff65ecc5ee8e']",3754136,Complete,59,59,3583,,,,,
79,47ce9359-b77e-4c32-8e57-6e970831f755,2102,2,00:10:49.843,55,49,Dribble,123,Newcastle United,From Free Kick,Newcastle United,Siem Stefan de Jong,Center Attacking Midfield,"[81.9, 36.5]",0.0,True,"['380572d7-4ed5-41ee-b5f3-d5f944562782', 'cc881dc0-88e6-484c-a332-4de8c047ac8a']",3754136,Complete,37,37,8061,,,,,
80,26a37fb8-ecee-4999-a6f4-af5420c56200,2424,2,00:21:07.227,66,7,Dribble,145,Aston Villa,From Corner,Aston Villa,Idrissa Gana Gueye,Left Center Midfield,"[70.2, 18.4]",0.0,True,['e7029759-a70e-4361-9698-aa0cc320ca1d'],3754136,Complete,59,59,3436,,,,,
